SGG_NM,NAME,CATEGORY,ADDRESS,geocoding,x,y,note
강남구,청음복지관,(장애인) 장애인복지관,서울특별시 강남구 봉은사로50길 6,서울특별시 강남구 봉은사로50길 6,127.04236867149734,37.5093797652588,
강남구,강남세움복지관,(장애인) 장애인복지관,서울특별시 강남구 광평로60길 22,서울특별시 강남구 광평로60길 22,127.10695288316374,37.48697597517407,
강남구,하상점자도서관,(장애인) 장애인복지관,서울특별시 강남구 개포로 613,서울특별시 강남구 개포로 613,127.07512927593218,37.49255070377126,
강남구,성모자애복지관,(장애인) 장애인복지관,서울특별시 강남구 헌릉로757길 35,서울특별시 강남구 헌릉로757길 35,127.11943232591037,37.47058367799804,
강남구,하상장애인복지관,(장애인) 장애인복지관,서울특별시 강남구 개포로 613,서울특별시 강남구 개포로 613,127.07512927593218,37.49255070377126,
강남구,강남장애인복지관,(장애인) 장애인복지관,서울특별시 강남구 개포로 605,서울특별시 강남구 개포로 605,127.07347777677202,37.4919841079833,
강남구,충현복지관,(장애인) 장애인복지관,서울특별시 강남구 논현로98길 16충현복지관,서울특별시 강남구 논현로98길 16충현복지관,127.03707260912851,37.50370521416749,
강동구,홀트강동복지관,(장애인) 장애인복지관,서울특별시 강동구 아리수로93길 41,서울특별시 강동구 아리수로93길 41,127.1732706583487,37.56622145528911,
강동구,서울장애인종합복지관,(장애인) 장애인복지관,서울특별시 강동구 고덕로 201,서울특별시 강동구 고덕로 201,127.14854150234713,37.55620905382132,
강동구,한국시각장애인복지관,(장애인) 장애인복지관,서울특별시 강동구 구천면로 645,서울특별시 강동구 구천면로 645,127.16924088272377,37.551108585679636,
강북구,강북장애인종합복지관,(장애인) 장애인복지관,서울특별시 강북구 오현로 189강북장애인종합복지관,서울특별시 강북구 오현로 189강북장애인종합복지관,127.03907179625904,37.62875379642867,
강서구,늘푸른나무복지관,(장애인) 장애인복지관,서울특별시 강서구 허준로5길 37  -0,서울특별시 강서구 허준로5길 37  -0,126.85109441010097,37.568552237611684,
강서구,기쁜우리복지관,(장애인) 장애인복지관,서울특별시 강서구 허준로 65,서울특별시 강서구 허준로 65,126.84867038911153,37.5693870804596,
강서구,강서뇌성마비복지관,(장애인) 장애인복지관,서울특별시 강서구 방화대로 45길 69,서울특별시 강서구 방화대로 45길 69,126.81257197779593,37.574200656440475,
관악구,실로암시각장애인복지관,(장애인) 장애인복지관,서울특별시 관악구 남부순환로 1717,서울특별시 관악구 남부순환로 1717,126.94110501061814,37.48294615820665,
관악구,관악구장애인종합복지관,(장애인) 장애인복지관,서울특별시 관악구 남부순환로 1914,서울특별시 관악구 남부순환로 1914,126.96185503539701,37.47744050369854,
광진구,정립회관,(장애인) 장애인복지관,서울특별시 광진구 워커힐로 93정립회관,서울특별시 광진구 워커힐로 93정립회관,127.09792246312416,37.550531540396435,
구로구,에덴장애인종합복지관,(장애인) 장애인복지관,서울특별시 구로구 고척로21가길 84-35,서울특별시 구로구 고척로21가길 84-35,126.8412084156487,37.50118060252901,
구로구,성프란치스꼬장애인종합복지관,(장애인) 장애인복지관,서울특별시 구로구 남부순환로105라길 25-10,서울특별시 구로구 남부순환로105라길 25-10,126.89056712520798,37.48180191773222,
금천구,금천장애인종합복지관,(장애인) 장애인복지관,서울특별시 금천구 시흥대로101길 17,서울특별시 금천구 시흥대로101길 17,126.89633530382768,37.46397613382489,
노원구,서울시립북부장애인종합복지관,(장애인) 장애인복지관,서울특별시 노원구 덕릉로70가길 92,서울특별시 노원구 덕릉로70가길 92,127.05696992294833,37.64253158672581,
노원구,서울시립상이군경복지관,(장애인) 장애인복지관,서울특별시 노원구 덕릉로70가길 73-0,서울특별시 노원구 덕릉로70가길 73-0,127.05763864688605,37.64281957685255,
노원구,서울시립뇌성마비복지관,(장애인) 장애인복지관,서울특별시 노원구 덕릉로70가길 96,서울특별시 노원구 덕릉로70가길 96,127.05657332711948,37.642495738200104,
노원구,성민복지관,(장애인) 장애인복지관,서울특별시 노원구 노원로32길 30-3,서울특별시 노원구 노원로32길 30-3,127.06933237412235,37.65562526435918,
노원구,다운복지관,(장애인) 장애인복지관,서울특별시 노원구 화랑로478,서울특별시 노원구 화랑로478,127.08030808907105,37.618939207874675,
노원구,서울시립노원시각장애인복지관,(장애인) 장애인복지관,서울특별시 노원구 덕릉로70가길 98서울특별시립노원시각장애인복지관,서울특별시 노원구 덕릉로70가길 98서울특별시립노원시각장애인복지관,127.0564823623171,37.64207231919038,
